BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;ANZAHL_PERSONEN
4426;Kesswil;2011;Bezirk Arbon;2021;994
4431;Roggwil;2011;Bezirk Arbon;2021;3301
4436;Romanshorn;2011;Bezirk Arbon;2021;11446
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2021;1835
4801;Berlingen;2012;Bezirk Frauenfeld;2021;926
4571;Gachnang;2012;Bezirk Frauenfeld;2021;4507
4816;Homburg;2012;Bezirk Frauenfeld;2021;1552
4841;Pfyn;2012;Bezirk Frauenfeld;2021;2206
4546;Schlatt;2012;Bezirk Frauenfeld;2021;1818
4606;Stettfurt;2012;Bezirk Frauenfeld;2021;1236
4611;Thundorf;2012;Bezirk Frauenfeld;2021;1548
4643;Bottighofen;2013;Bezirk Kreuzlingen;2021;2592
4646;Ermatingen;2013;Bezirk Kreuzlingen;2021;3728
4651;Gottlieben;2013;Bezirk Kreuzlingen;2021;335
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2021;1383
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2021;5054
4551;Aadorf;2014;Bezirk Münchwilen;2021;9343
4724;Eschlikon;2014;Bezirk Münchwilen;2021;4729
4726;Fischingen;2014;Bezirk Münchwilen;2021;2859
4741;Lommis;2014;Bezirk Münchwilen;2021;1258
4761;Sirnach;2014;Bezirk Münchwilen;2021;7923
4891;Berg;2015;Bezirk Weinfelden;2021;3439
4476;Erlen;2015;Bezirk Weinfelden;2021;3838
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2021;3646
4941;Märstetten;2015;Bezirk Weinfelden;2021;2891
4951;Wigoltingen;2015;Bezirk Weinfelden;2021;2611
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2021;2473
4406;Dozwil;2011;Bezirk Arbon;2020;683
4421;Horn;2011;Bezirk Arbon;2020;2883
4426;Kesswil;2011;Bezirk Arbon;2020;997
4431;Roggwil;2011;Bezirk Arbon;2020;3253
4451;Uttwil;2011;Bezirk Arbon;2020;1917
4545;Diessenhofen;2012;Bezirk Frauenfeld;2020;4091
4566;Frauenfeld;2012;Bezirk Frauenfeld;2020;25810
4590;Hüttlingen;2012;Bezirk Frauenfeld;2020;825
4826;Mammern;2012;Bezirk Frauenfeld;2020;677
4841;Pfyn;2012;Bezirk Frauenfeld;2020;2094
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2020;1090
4871;Wagenhausen;2012;Bezirk Frauenfeld;2020;1765
4641;Altnau;2013;Bezirk Kreuzlingen;2020;2336
4646;Ermatingen;2013;Bezirk Kreuzlingen;2020;3638
4656;Güttingen;2013;Bezirk Kreuzlingen;2020;1663
4666;Kemmental;2013;Bezirk Kreuzlingen;2020;2592
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2020;1338
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2020;3492
4741;Lommis;2014;Bezirk Münchwilen;2020;1237
4751;Rickenbach;2014;Bezirk Münchwilen;2020;2823
4786;Wilen;2014;Bezirk Münchwilen;2020;2518
4781;Wängi;2014;Bezirk Münchwilen;2020;4740
4891;Berg;2015;Bezirk Weinfelden;2020;3420
4911;Bürglen;2015;Bezirk Weinfelden;2020;3946
4476;Erlen;2015;Bezirk Weinfelden;2020;3794
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2020;3653
4946;Weinfelden;2015;Bezirk Weinfelden;2020;11588
4461;Amriswil;2011;Bezirk Arbon;2020;14157
4401;Arbon;2011;Bezirk Arbon;2020;14872
4411;Egnach;2011;Bezirk Arbon;2020;4773
4436;Romanshorn;2011;Bezirk Arbon;2020;11296
4441;Salmsach;2011;Bezirk Arbon;2020;1470
4801;Berlingen;2012;Bezirk Frauenfeld;2020;907
